Date,Inflation,Inf_expec_K3,Inf_expec_K4,Inf_expec_K5,Inf_expec_K6,Unemployment,Unemp_expec_k3_mcmc,Unemp_expec_k3_est,Unemp_expec_k4_mcmc,Unemp_expec_k4_est,Unemp_expec_k5_mcmc,Unemp_expec_k5_est,Unemp_expec_k6_mcmc,Unemp_expec_k6_est
Q1 2015,0.25,0.22893129,-0.253125435,0.568,0.5644,6.6,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2015,1.4,0.82773251,1.369500435,1.064834595,1.028792685,6.9,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2015,1.43,0.82773251,1.369500435,1.064834595,1.028792685,6.76,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2015,0.96,0.82773251,1.04446618,0.8184,0.75469344,6.31,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2016,0.78,0.82773251,1.04446618,0.8184,0.75469344,6.67,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2016,0.98,0.82773251,1.04446618,0.8184,0.75469344,7.33,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2016,0.73,0.82773251,1.04446618,0.8184,0.75469344,7.12,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q4 2016,0.31,0.22893129,-0.253125435,0.568,0.5644,6.6,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q1 2017,0.71,0.82773251,1.04446618,0.8184,0.75469344,7.28,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q2 2017,0.53,0.22893129,1.04446618,0.8184,0.75469344,7.59,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
Q3 2017,0.1,0.22893129,-0.253125435,0.568,0.5644,7.29,7.96505958,7.967611855,7.969679934,8.049135401,8.28259878,8.266102902,8.24547534,8.193672382
